Euclidean,1,2,3,4,5,6,7,8,9,10
1,0.000000,692.157887,3490.258640,205.750279,346.718823,512.612247,444.731001,566.201992,1282.770845,307.669128
2,,0.000000,2798.801053,897.658986,1038.826888,1204.078199,1136.327344,1257.449528,669.890228,412.076077
3,,,0.000000,3695.114191,3836.906638,4002.689083,3934.871559,4056.135573,2294.579642,3195.923901
4,,,,0.000000,142.438874,309.506324,241.730115,363.262895,1474.945421,504.634116
5,,,,,0.000000,167.149800,99.545543,220.901784,1615.852353,646.930564
6,,,,,,0.000000,67.911861,53.789891,1782.203049,814.076150
7,,,,,,,0.000000,121.633720,1715.253200,746.335559
8,,,,,,,,0.000000,1835.639672,867.823079
9,,,,,,,,,0.000000,975.320423
10,,,,,,,,,,0.000000
