Euclidean,1,2,3,4,5,6,7,8,9,10
1,0.000000,15747.234226,14100.144688,9032.333023,5554.786693,2006.702668,1338.161126,514.627038,1571.243420,3022.660884
2,,0.000000,11524.505650,6743.884100,10192.525007,14474.554116,14412.056615,15239.877071,14328.226192,12731.397635
3,,,0.000000,9545.879403,10883.382188,12167.793871,13125.351004,13684.606757,12643.985638,12006.394618
4,,,,0.000000,3494.222416,7742.628117,7694.276701,8521.197863,7588.404540,6009.820223
5,,,,,0.000000,4452.971685,4219.760574,5047.516256,4167.636533,2542.569354
6,,,,,,0.000000,1405.109080,1637.729438,910.994388,2124.263362
7,,,,,,,0.000000,827.840658,566.551017,1684.516012
8,,,,,,,,0.000000,1081.379335,2511.458859
9,,,,,,,,,0.000000,1649.389172
10,,,,,,,,,,0.000000
