Manhattan,1,2,3,4,5,6,7,8,9,10
1,0.000000,728.924314,3797.899078,212.181090,374.890422,577.402076,499.157894,645.769777,1731.064307,406.701225
2,,0.000000,3072.888690,935.885338,1100.833091,1303.895723,1225.351713,1372.092205,1005.293046,490.928058
3,,,0.000000,4001.038052,4170.304533,4372.788719,4294.952834,4440.719768,2513.422660,3396.420003
4,,,,0.000000,171.365154,375.247921,296.254724,443.498445,1934.086960,609.749322
5,,,,,0.000000,204.522924,125.596786,272.934913,2102.864923,779.397227
6,,,,,,0.000000,79.401684,69.589876,2306.380251,983.019681
7,,,,,,,0.000000,147.865709,2227.555857,904.370250
8,,,,,,,,0.000000,2374.545430,1050.916221
9,,,,,,,,,0.000000,1327.583980
10,,,,,,,,,,0.000000
