Manhattan,1,2,3,4,5,6,7,8,9,10
1,0.000000,15757.691264,20200.259436,9517.668233,5588.853635,3281.488247,1430.208678,602.954849,2102.553978,3211.455756
2,,0.000000,16003.499000,7219.196667,10221.031000,16325.270500,14506.485890,15335.957403,14980.056096,12922.931357
3,,,0.000000,10690.484333,14613.552000,17521.517667,18775.121461,19602.262815,18111.885425,16995.133536
4,,,,0.000000,3935.292667,9116.024500,8090.510188,8918.813117,7771.222078,6312.530012
5,,,,,0.000000,6110.832500,4293.501903,5123.066808,4768.923000,2710.056500
6,,,,,,0.000000,1855.579909,2682.569234,1358.795895,3413.036179
7,,,,,,,0.000000,833.430282,674.827570,1784.512045
8,,,,,,,,0.000000,1500.824884,2613.997305
9,,,,,,,,,0.000000,2062.251068
10,,,,,,,,,,0.000000
